                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.397,                 1.8092,                 1.6801,                 0.1855,                0.53731,                 0.3665,                 0.1087,                 2.3953,                 16.555,                 3.4096,                0.00044,                0.00044,                0.00044
                      2,                 1.4008,                 1.5492,                 1.6359,                0.21311,                0.58209,                0.18132,                0.06045,                 2.2829,                 70.893,                 6.7442,             0.00085545,             0.00085545,             0.00085545
                      3,                 1.3837,                 1.4929,                 1.6387,                0.02981,                0.73134,                0.02743,                0.00951,                 2.6837,                 726.67,                  8.542,              0.0012254,              0.0012254,              0.0012254
                      4,                  1.514,                 1.5266,                 1.7015,                0.03906,                0.22388,                0.04801,                 0.0152,                 2.8792,                 305.43,                 5.0545,              0.0015497,              0.0015497,              0.0015497
                      5,                 1.4512,                 1.4411,                 1.6739,                0.07125,                0.76119,                0.18572,                0.06848,                 2.2738,                 49.297,                 4.7526,               0.001604,               0.001604,               0.001604
                      6,                 1.4495,                 1.4032,                 1.6563,                0.00094,                0.19403,                0.00056,                0.00024,                 3.4003,                 512.75,                 4.3642,               0.001604,               0.001604,               0.001604
                      7,                 1.3435,                 1.2767,                  1.602,                0.00507,                0.29851,                0.00267,                0.00087,                 3.6143,                 168.05,                 4.2954,               0.001505,               0.001505,               0.001505
                      8,                 1.3487,                 1.2509,                 1.5883,                0.25484,                0.23881,                0.14224,                0.03138,                 2.9069,                  9.369,                 3.5833,               0.001406,               0.001406,               0.001406
                      9,                 1.2572,                  1.191,                 1.5051,                0.60948,                0.62897,                0.60344,                0.26276,                 1.8311,                 2.8466,                  2.416,               0.001307,               0.001307,               0.001307
                     10,                 1.3037,                 1.1707,                 1.5393,                0.47808,                0.64179,                0.56099,                0.22125,                 1.8733,                 3.2115,                 2.3369,               0.001208,               0.001208,               0.001208
                     11,                 1.4389,                   1.44,                 1.8187,                0.77456,                0.58209,                0.74313,                0.36909,                 1.6232,                 1.8745,                 2.1418,               0.001109,               0.001109,               0.001109
                     12,                 1.3677,                 1.2354,                  1.756,                0.54125,                0.73134,                0.54573,                0.28645,                 1.5139,                 1.7758,                 1.9855,                0.00101,                0.00101,                0.00101
                     13,                  1.307,                 1.2462,                   1.71,                0.85712,                 0.7163,                0.83309,                0.46711,                 1.3028,                 1.3129,                 1.7409,               0.000911,               0.000911,               0.000911
                     14,                 1.3132,                 1.1874,                 1.7345,                0.87931,                0.76119,                0.84105,                0.48193,                 1.3478,                 1.1959,                 1.8005,               0.000812,               0.000812,               0.000812
                     15,                  1.246,                 1.0994,                  1.652,                 0.8113,                 0.8209,                0.83963,                0.49698,                 1.3094,                 1.1902,                 1.7148,               0.000713,               0.000713,               0.000713
                     16,                 1.2649,                 1.0941,                 1.6418,                0.90488,                0.70998,                0.84787,                0.51778,                 1.2897,                 1.0262,                 1.7063,               0.000614,               0.000614,               0.000614
                     17,                 1.2451,                 1.0546,                 1.6286,                0.84942,                0.75778,                0.83598,                0.52702,                 1.2357,                 1.0079,                 1.5954,               0.000515,               0.000515,               0.000515
                     18,                 1.1512,                0.94519,                 1.5548,                0.86698,                0.74627,                0.84585,                0.49362,                 1.3472,                 1.1026,                 1.6768,               0.000416,               0.000416,               0.000416
                     19,                 1.1773,                 1.0298,                  1.587,                0.76974,                0.84825,                0.85113,                0.51584,                 1.2511,                0.98596,                 1.5945,               0.000317,               0.000317,               0.000317
                     20,                 1.0874,                0.91052,                 1.4948,                0.80559,                0.86588,                0.89022,                0.54915,                 1.1955,                 0.9127,                 1.5668,               0.000218,               0.000218,               0.000218
